Landscape_ID,City,Lat,Long,S,SF,Forest_cover
1,Nova Odessa,-22.83,-47.37,11,6,3
2,Iracema,-22.56,-47.58,11,5,6
3,Piracicaba,-22.62,-47.61,8,2,13
4,Garca,-22.3,-49.63,10,5,15
5,Cosmo,-22.61,-47.13,7,2,16
6,Amparo,-22.58,-46.79,13,6,24
7,Araras,-22.26,-47.32,12,7,24
8,Porangaba,-23.16,-48.08,9,5,32
9,Rio Claro,-22.36,-47.48,11,6,35
10,Porto Ferreira,-21.85,-47.43,12,8,45
11,SJRioPardo,-21.59,-46.74,7,4,45
12,Magda,-20.5,-50.23,15,7,55
13,Novo Horizonte,-21.52,-49.3,14,7,56
14,Santa Rosa de Viterbo,-21.43,-47.28,14,8,65
15,Valparaiso,-21.01,-50.85,13,8,68
16,Rancharia,-22.07,-50.94,18,11,72
17,Euclides da Cunha Paulista,-22.41,-52.51,11,8,74
18,Anhembi,-22.66,-48.15,12,8,75
19,Irapuã,-21.41,-49.5,11,6,84
20,Matao,-21.62,-48.54,12,8,84
21,Teodoro Sampaio,-22.53,-52.25,15,11,95
22,Galia,-22.4,-49.7,9,8,96
